t x
1.000000 -1.734178
0.990000 -1.734178
0.980000 -1.734178
0.970000 -1.734178
0.960000 -1.734179
0.950000 -1.734179
0.940000 -1.734179
0.930000 -1.734179
0.920000 -1.734179
0.910000 -1.734180
0.900000 -1.734180
0.890000 -1.734181
0.880000 -1.734181
0.870000 -1.734182
0.860000 -1.734183
0.850000 -1.734184
0.840000 -1.734185
0.830000 -1.734186
0.820000 -1.734188
0.810000 -1.734189
0.800000 -1.734191
0.790000 -1.734194
0.780000 -1.734197
0.770000 -1.734200
0.760000 -1.734203
0.750000 -1.734208
0.740000 -1.734212
0.730000 -1.734218
0.720000 -1.734224
0.710000 -1.734231
0.700000 -1.734239
0.690000 -1.734248
0.680000 -1.734259
0.670000 -1.734270
0.660000 -1.734284
0.650000 -1.734298
0.640000 -1.734315
0.630000 -1.734333
0.620000 -1.734353
0.610000 -1.734375
0.600000 -1.734400
0.590000 -1.734427
0.580000 -1.734456
0.570000 -1.734487
0.560000 -1.734520
0.550000 -1.734555
0.540000 -1.734591
0.530000 -1.734628
0.520000 -1.734665
0.510000 -1.734700
0.500000 -1.734731
0.490000 -1.734756
0.480000 -1.734772
0.470000 -1.734774
0.460000 -1.734756
0.450000 -1.734712
0.440000 -1.734633
0.430000 -1.734508
0.420000 -1.734322
0.410000 -1.734059
0.400000 -1.733699
0.390000 -1.733216
0.380000 -1.732581
0.370000 -1.731759
0.360000 -1.730711
0.350000 -1.729389
0.340000 -1.727740
0.330000 -1.725705
0.320000 -1.723217
0.310000 -1.720206
0.300000 -1.716592
0.290000 -1.712295
0.280000 -1.707231
0.270000 -1.701312
0.260000 -1.694454
0.250000 -1.686573
0.240000 -1.677590
0.230000 -1.667431
0.220000 -1.656032
0.210000 -1.643336
0.200000 -1.629295
0.190000 -1.613874
0.180000 -1.597046
0.170000 -1.578794
0.160000 -1.559113
0.150000 -1.538006
0.140000 -1.515485
0.130000 -1.491576
0.120000 -1.466313
0.110000 -1.439746
0.100000 -1.411945
0.090000 -1.383002
0.080000 -1.353047
0.070000 -1.322260
0.060000 -1.290901
0.050000 -1.259356
0.040000 -1.228232
0.030000 -1.198504
0.020000 -1.171786
0.010000 -1.150652
0.000000 -1.138591
nan nan
1.000000 -1.152083
0.990000 -1.152083
0.980000 -1.152084
0.970000 -1.152084
0.960000 -1.152084
0.950000 -1.152084
0.940000 -1.152084
0.930000 -1.152084
0.920000 -1.152084
0.910000 -1.152085
0.900000 -1.152085
0.890000 -1.152085
0.880000 -1.152086
0.870000 -1.152086
0.860000 -1.152087
0.850000 -1.152087
0.840000 -1.152088
0.830000 -1.152089
0.820000 -1.152090
0.810000 -1.152091
0.800000 -1.152093
0.790000 -1.152094
0.780000 -1.152096
0.770000 -1.152099
0.760000 -1.152102
0.750000 -1.152105
0.740000 -1.152109
0.730000 -1.152113
0.720000 -1.152119
0.710000 -1.152125
0.700000 -1.152132
0.690000 -1.152141
0.680000 -1.152151
0.670000 -1.152164
0.660000 -1.152178
0.650000 -1.152195
0.640000 -1.152216
0.630000 -1.152240
0.620000 -1.152270
0.610000 -1.152304
0.600000 -1.152346
0.590000 -1.152395
0.580000 -1.152455
0.570000 -1.152525
0.560000 -1.152610
0.550000 -1.152710
0.540000 -1.152830
0.530000 -1.152973
0.520000 -1.153143
0.510000 -1.153345
0.500000 -1.153584
0.490000 -1.153866
0.480000 -1.154200
0.470000 -1.154593
0.460000 -1.155054
0.450000 -1.155593
0.440000 -1.156223
0.430000 -1.156955
0.420000 -1.157803
0.410000 -1.158782
0.400000 -1.159906
0.390000 -1.161192
0.380000 -1.162655
0.370000 -1.164311
0.360000 -1.166174
0.350000 -1.168257
0.340000 -1.170567
0.330000 -1.173109
0.320000 -1.175880
0.310000 -1.178871
0.300000 -1.182061
0.290000 -1.185418
0.280000 -1.188898
0.270000 -1.192439
0.260000 -1.195969
0.250000 -1.199399
0.240000 -1.202628
0.230000 -1.205548
0.220000 -1.208043
0.210000 -1.209998
0.200000 -1.211305
0.190000 -1.211862
0.180000 -1.211583
0.170000 -1.210398
0.160000 -1.208251
0.150000 -1.205104
0.140000 -1.200932
0.130000 -1.195723
0.120000 -1.189473
0.110000 -1.182189
0.100000 -1.173888
0.090000 -1.164601
0.080000 -1.154377
0.070000 -1.143290
0.060000 -1.131457
0.050000 -1.119056
0.040000 -1.106373
0.030000 -1.093879
0.020000 -1.082354
0.010000 -1.073052
0.000000 -1.067674
nan nan
1.000000 -0.814282
0.990000 -0.814282
0.980000 -0.814282
0.970000 -0.814282
0.960000 -0.814282
0.950000 -0.814282
0.940000 -0.814282
0.930000 -0.814282
0.920000 -0.814282
0.910000 -0.814282
0.900000 -0.814283
0.890000 -0.814283
0.880000 -0.814283
0.870000 -0.814283
0.860000 -0.814284
0.850000 -0.814284
0.840000 -0.814285
0.830000 -0.814285
0.820000 -0.814286
0.810000 -0.814287
0.800000 -0.814288
0.790000 -0.814290
0.780000 -0.814291
0.770000 -0.814293
0.760000 -0.814295
0.750000 -0.814297
0.740000 -0.814300
0.730000 -0.814304
0.720000 -0.814308
0.710000 -0.814313
0.700000 -0.814318
0.690000 -0.814325
0.680000 -0.814334
0.670000 -0.814344
0.660000 -0.814356
0.650000 -0.814370
0.640000 -0.814387
0.630000 -0.814408
0.620000 -0.814433
0.610000 -0.814463
0.600000 -0.814500
0.590000 -0.814544
0.580000 -0.814597
0.570000 -0.814662
0.560000 -0.814739
0.550000 -0.814833
0.540000 -0.814946
0.530000 -0.815082
0.520000 -0.815246
0.510000 -0.815442
0.500000 -0.815677
0.490000 -0.815958
0.480000 -0.816294
0.470000 -0.816694
0.460000 -0.817170
0.450000 -0.817735
0.440000 -0.818403
0.430000 -0.819192
0.420000 -0.820123
0.410000 -0.821216
0.400000 -0.822497
0.390000 -0.823995
0.380000 -0.825742
0.370000 -0.827772
0.360000 -0.830124
0.350000 -0.832840
0.340000 -0.835966
0.330000 -0.839547
0.320000 -0.843634
0.310000 -0.848275
0.300000 -0.853514
0.290000 -0.859394
0.280000 -0.865945
0.270000 -0.873185
0.260000 -0.881112
0.250000 -0.889702
0.240000 -0.898900
0.230000 -0.908623
0.220000 -0.918752
0.210000 -0.929144
0.200000 -0.939633
0.190000 -0.950042
0.180000 -0.960198
0.170000 -0.969939
0.160000 -0.979130
0.150000 -0.987663
0.140000 -0.995457
0.130000 -1.002457
0.120000 -1.008626
0.110000 -1.013938
0.100000 -1.018376
0.090000 -1.021929
0.080000 -1.024594
0.070000 -1.026377
0.060000 -1.027299
0.050000 -1.027404
0.040000 -1.026768
0.030000 -1.025532
0.020000 -1.023933
0.010000 -1.022360
0.000000 -1.021346
nan nan
1.000000 -0.549002
0.990000 -0.549002
0.980000 -0.549002
0.970000 -0.549002
0.960000 -0.549002
0.950000 -0.549002
0.940000 -0.549002
0.930000 -0.549002
0.920000 -0.549002
0.910000 -0.549002
0.900000 -0.549003
0.890000 -0.549003
0.880000 -0.549003
0.870000 -0.549003
0.860000 -0.549003
0.850000 -0.549004
0.840000 -0.549004
0.830000 -0.549004
0.820000 -0.549005
0.810000 -0.549006
0.800000 -0.549006
0.790000 -0.549007
0.780000 -0.549008
0.770000 -0.549009
0.760000 -0.549011
0.750000 -0.549013
0.740000 -0.549015
0.730000 -0.549017
0.720000 -0.549020
0.710000 -0.549023
0.700000 -0.549028
0.690000 -0.549033
0.680000 -0.549038
0.670000 -0.549046
0.660000 -0.549054
0.650000 -0.549065
0.640000 -0.549077
0.630000 -0.549093
0.620000 -0.549111
0.610000 -0.549134
0.600000 -0.549161
0.590000 -0.549194
0.580000 -0.549234
0.570000 -0.549283
0.560000 -0.549342
0.550000 -0.549414
0.540000 -0.549501
0.530000 -0.549606
0.520000 -0.549732
0.510000 -0.549885
0.500000 -0.550069
0.490000 -0.550289
0.480000 -0.550554
0.470000 -0.550872
0.460000 -0.551251
0.450000 -0.551703
0.440000 -0.552242
0.430000 -0.552883
0.420000 -0.553644
0.410000 -0.554545
0.400000 -0.555611
