a s
1.000000 0.020000
1.000000 0.031698
1.000000 0.050238
1.000000 0.079621
1.000000 0.126191
1.000000 0.200000
1.000000 0.316979
1.000000 0.502377
1.000000 0.796214
1.000000 1.261915
1.000000 2.000000
