x y u v
-1.333333 1.666667 0.202994 -0.144126
-1.000000 1.666667 0.165906 -0.157058
-0.666667 1.666667 0.120619 -0.171278
-0.333333 1.666667 0.064777 -0.183967
0.000000 1.666667 -0.000000 -0.189422
0.333333 1.666667 -0.064777 -0.183967
0.666667 1.666667 -0.120619 -0.171278
1.000000 1.666667 -0.165906 -0.157058
1.333333 1.666667 -0.202994 -0.144126
1.666667 1.666667 -0.234367 -0.133121
2.000000 1.666667 -0.229637 -0.165184
-2.000000 2.000000 0.252681 -0.161716
-1.666667 2.000000 0.223831 -0.171902
-1.333333 2.000000 0.190935 -0.183298
-1.000000 2.000000 0.152756 -0.195527
-0.666667 2.000000 0.108038 -0.207433
-0.333333 2.000000 0.056426 -0.216677
0.000000 2.000000 0.000000 -0.220261
0.333333 2.000000 -0.056426 -0.216677
0.666667 2.000000 -0.108038 -0.207433
1.000000 2.000000 -0.152756 -0.195527
1.333333 2.000000 -0.190935 -0.183298
1.666667 2.000000 -0.223831 -0.171902
2.000000 2.000000 -0.252681 -0.161716
