x y u v
-1.666667 -0.666667 0.181442 0.080589
-1.333333 -0.666667 0.141889 0.094253
-1.000000 -0.666667 0.087274 0.113339
-0.666667 -0.666667 0.012277 0.128721
-0.333333 -0.666667 -0.038587 0.130041
0.000000 -0.666667 -0.000000 0.136162
0.333333 -0.666667 0.038587 0.130041
0.666667 -0.666667 -0.012277 0.128721
1.000000 -0.666667 -0.087274 0.113339
1.333333 -0.666667 -0.141889 0.094253
1.666667 -0.666667 -0.181442 0.080589
2.000000 -0.666667 -0.213209 0.071101
-2.000000 -0.333333 0.218554 0.018610
-1.666667 -0.333333 0.189323 0.021713
-1.333333 -0.333333 0.154781 0.027331
-1.000000 -0.333333 0.110153 0.040364
-0.666667 -0.333333 0.033686 0.073108
-0.333333 -0.333333 -0.034354 0.087776
0.000000 -0.333333 -0.000000 0.100829
0.333333 -0.333333 0.034354 0.087776
0.666667 -0.333333 -0.033686 0.073108
1.000000 -0.333333 -0.110153 0.040364
1.333333 -0.333333 -0.154781 0.027331
1.666667 -0.333333 -0.189323 0.021713
2.000000 -0.333333 -0.218554 0.018610
-2.000000 0.000000 0.217660 -0.035282
-1.666667 0.000000 0.188309 -0.039608
-1.333333 0.000000 0.154235 -0.044718
-1.000000 0.000000 0.113842 -0.048564
-0.666667 0.000000 0.067756 -0.041371
-0.333333 0.000000 0.015091 0.032967
0.000000 0.000000 -0.000000 0.062739
0.333333 0.000000 -0.015091 0.032967
0.666667 0.000000 -0.067756 -0.041371
1.000000 0.000000 -0.113842 -0.048564
1.333333 0.000000 -0.154235 -0.044718
1.666667 0.000000 -0.188309 -0.039608
2.000000 0.000000 -0.217660 -0.035282
-2.000000 0.333333 0.211232 -0.085713
-1.666667 0.333333 0.180362 -0.093919
-1.333333 0.333333 0.146086 -0.100948
-1.000000 0.333333 0.111953 -0.100656
-0.666667 0.333333 0.085499 -0.084487
-0.333333 0.333333 0.062954 -0.055555
0.000000 0.333333 0.000000 -0.047914
0.333333 0.333333 -0.062954 -0.055555
0.666667 0.333333 -0.085499 -0.084487
1.000000 0.333333 -0.111953 -0.100656
1.333333 0.333333 -0.146086 -0.100948
1.666667 0.333333 -0.180362 -0.093919
2.000000 0.333333 -0.211232 -0.085713
-2.000000 0.666667 0.202387 -0.129180
-1.666667 0.666667 0.172403 -0.135930
-1.333333 0.666667 0.144563 -0.136247
-1.000000 0.666667 0.124337 -0.124850
-0.666667 0.666667 0.106930 -0.106374
-0.333333 0.666667 0.072818 -0.098031
0.000000 0.666667 -0.000000 -0.103305
0.333333 0.666667 -0.072818 -0.098031
0.666667 0.666667 -0.106930 -0.106374
1.000000 0.666667 -0.124337 -0.124850
1.333333 0.666667 -0.144563 -0.136247
1.666667 0.666667 -0.172403 -0.135930
2.000000 0.666667 -0.202387 -0.129180
-2.000000 1.000000 0.195251 -0.163839
-1.666667 1.000000 0.171219 -0.164283
-1.333333 1.000000 0.154442 -0.154975
-1.000000 1.000000 0.140500 -0.140422
-0.666667 1.000000 0.115476 -0.133537
-0.333333 1.000000 0.069198 -0.138828
0.000000 1.000000 0.000000 -0.144871
0.333333 1.000000 -0.069198 -0.138828
0.666667 1.000000 -0.115476 -0.133537
1.000000 1.000000 -0.140500 -0.140422
1.333333 1.000000 -0.154442 -0.154975
1.666667 1.000000 -0.171219 -0.164283
2.000000 1.000000 -0.195251 -0.163839
-2.000000 1.333333 0.194270 -0.188187
-1.666667 1.333333 0.179653 -0.180123
-1.333333 1.333333 0.167787 -0.167756
-1.000000 1.333333 0.147316 -0.161943
-0.666667 1.333333 0.112211 -0.166162
-0.333333 1.333333 0.061872 -0.175023
0.000000 1.333333 -0.000000 -0.179683
0.333333 1.333333 -0.061872 -0.175023
0.666667 1.333333 -0.112211 -0.166162
1.000000 1.333333 -0.147316 -0.161943
1.333333 1.333333 -0.167787 -0.167756
1.666667 1.333333 -0.179653 -0.180123
2.000000 1.333333 -0.194270 -0.188187
-2.000000 1.666667 0.201747 -0.202167
-1.666667 1.666667 0.191253 -0.191230
-1.333333 1.666667 0.173539 -0.186129
-1.000000 1.666667 0.144311 -0.189703
-0.666667 1.666667 0.104289 -0.198118
-0.333333 1.666667 0.055094 -0.206303
0.000000 1.666667 -0.000000 -0.209712
0.333333 1.666667 -0.055094 -0.206303
0.666667 1.666667 -0.104289 -0.198118
1.000000 1.666667 -0.144311 -0.189703
1.333333 1.666667 -0.173539 -0.186129
1.666667 1.666667 -0.191253 -0.191230
2.000000 1.666667 -0.201747 -0.202167
-2.000000 2.000000 0.212142 -0.212122
-1.666667 2.000000 0.196310 -0.207526
-1.333333 2.000000 0.170773 -0.210670
-1.000000 2.000000 0.136834 -0.218357
-0.666667 2.000000 0.096006 -0.227007
-0.333333 2.000000 0.049653 -0.233717
0.000000 2.000000 -0.000000 -0.236256
0.333333 2.000000 -0.049653 -0.233717
0.666667 2.000000 -0.096006 -0.227007
1.000000 2.000000 -0.136834 -0.218357
1.333333 2.000000 -0.170773 -0.210670
1.666667 2.000000 -0.196310 -0.207526
2.000000 2.000000 -0.212142 -0.212122
