x y u v
-2.000000 -2.000000 0.169747 0.225484
-1.666667 -2.000000 0.133112 0.235360
-1.333333 -2.000000 0.092331 0.243969
-1.000000 -2.000000 0.048101 0.249994
-0.666667 -2.000000 0.003736 0.252276
-0.333333 -2.000000 -0.025771 0.251665
0.000000 -2.000000 -0.000000 0.252354
0.333333 -2.000000 0.025771 0.251665
0.666667 -2.000000 -0.003736 0.252276
1.000000 -2.000000 -0.048101 0.249994
1.333333 -2.000000 -0.092331 0.243969
1.666667 -2.000000 -0.133112 0.235360
2.000000 -2.000000 -0.169747 0.225484
-2.000000 -1.666667 0.180434 0.194796
-1.666667 -1.666667 0.143385 0.206047
-1.333333 -1.666667 0.100839 0.216543
-1.000000 -1.666667 0.053139 0.224366
-0.666667 -1.666667 0.004226 0.227470
-0.333333 -1.666667 -0.028364 0.226711
0.000000 -1.666667 0.000000 0.227694
0.333333 -1.666667 0.028364 0.226711
0.666667 -1.666667 -0.004226 0.227470
1.000000 -1.666667 -0.053139 0.224366
1.333333 -1.666667 -0.100839 0.216543
1.666667 -1.666667 -0.143385 0.206047
2.000000 -1.666667 -0.180434 0.194796
-2.000000 -1.333333 0.191965 0.159493
-1.666667 -1.333333 0.155378 0.171834
-1.333333 -1.333333 0.111690 0.184563
-1.000000 -1.333333 0.060108 0.195113
-0.666667 -1.333333 0.005080 0.199690
-0.333333 -1.333333 -0.031644 0.198808
0.000000 -1.333333 -0.000000 0.200379
0.333333 -1.333333 0.031644 0.198808
0.666667 -1.333333 -0.005080 0.199690
1.000000 -1.333333 -0.060108 0.195113
1.333333 -1.333333 -0.111690 0.184563
1.666667 -1.333333 -0.155378 0.171834
2.000000 -1.333333 -0.191965 0.159493
-2.000000 -1.000000 0.203488 0.118455
-1.666667 -1.000000 0.168698 0.130719
-1.333333 -1.000000 0.125550 0.145351
-1.000000 -1.000000 0.070506 0.159992
-0.666667 -1.000000 0.006949 0.167640
-0.333333 -1.000000 -0.035513 0.166959
0.000000 -1.000000 0.000000 0.169865
0.333333 -1.000000 0.035513 0.166959
0.666667 -1.000000 -0.006949 0.167640
1.000000 -1.000000 -0.070506 0.159992
1.333333 -1.000000 -0.125550 0.145351
1.666667 -1.000000 -0.168698 0.130719
2.000000 -1.000000 -0.203488 0.118455
-2.000000 -0.666667 0.213209 0.071101
