t qv
0.000000 0.000000
0.000244 0.001479
0.000488 0.002051
0.000732 0.002058
0.000977 0.002308
0.001221 0.002554
0.001465 0.003223
0.001709 0.003456
0.001953 0.003459
0.002197 0.003627
0.002441 0.003746
0.002686 0.003765
0.002930 0.003773
0.003174 0.004059
0.003418 0.004792
0.003662 0.005054
0.003906 0.005070
0.004150 0.005147
0.004395 0.005181
0.004639 0.006514
0.004883 0.007332
0.005127 0.007665
0.005371 0.007719
0.005615 0.007734
0.005859 0.008217
0.006104 0.008229
0.006348 0.008423
0.006592 0.008930
0.006836 0.009022
0.007080 0.010015
0.007324 0.010398
0.007568 0.010411
0.007812 0.010422
0.008057 0.010551
0.008301 0.010571
0.008545 0.010755
0.008789 0.010999
0.009033 0.011011
0.009277 0.011079
0.009521 0.011184
0.009766 0.011413
0.010010 0.011433
0.010254 0.011520
0.010498 0.011606
0.010742 0.011722
0.010986 0.012002
0.011230 0.012080
0.011475 0.012098
0.011719 0.012750
0.011963 0.013047
0.012207 0.013319
0.012451 0.013319
0.012695 0.013351
0.012939 0.013351
0.013184 0.013566
0.013428 0.013809
0.013672 0.014274
0.013916 0.014529
0.014160 0.014542
0.014404 0.014554
0.014648 0.014621
0.014893 0.015329
0.015137 0.015488
0.015381 0.015489
0.015625 0.015608
0.015869 0.015975
0.016113 0.016001
0.016357 0.016309
0.016602 0.016589
0.016846 0.016823
0.017090 0.016930
0.017334 0.016981
0.017578 0.017428
0.017822 0.017538
0.018066 0.018168
0.018311 0.018202
0.018555 0.018271
0.018799 0.018863
0.019043 0.019090
0.019287 0.019090
0.019531 0.019172
0.019775 0.019437
0.020020 0.019446
0.020264 0.019869
0.020508 0.019935
0.020752 0.019966
0.020996 0.020115
0.021240 0.020391
0.021484 0.020421
0.021729 0.021064
0.021973 0.021102
0.022217 0.021386
0.022461 0.021387
0.022705 0.021395
0.022949 0.021489
0.023193 0.021606
0.023438 0.021697
0.023682 0.022176
0.023926 0.022304
0.024170 0.022621
0.024414 0.022719
0.024658 0.023106
0.024902 0.023108
0.025146 0.023160
0.025391 0.023354
0.025635 0.023356
0.025879 0.023587
0.026123 0.023701
0.026367 0.023808
0.026611 0.023808
0.026855 0.023828
0.027100 0.023924
0.027344 0.023959
0.027588 0.024387
0.027832 0.024410
0.028076 0.024658
0.028320 0.024699
0.028564 0.024722
0.028809 0.024912
0.029053 0.024976
0.029297 0.024979
0.029541 0.024995
0.029785 0.025079
0.030029 0.025252
0.030273 0.025313
0.030518 0.025360
0.030762 0.025375
0.031006 0.026246
0.031250 0.026941
0.031494 0.029426
0.031738 0.029442
0.031982 0.029454
0.032227 0.029531
0.032471 0.029608
0.032715 0.029639
0.032959 0.029748
0.033203 0.029749
0.033447 0.029751
0.033691 0.029961
0.033936 0.030429
0.034180 0.030659
0.034424 0.030707
0.034668 0.031817
0.034912 0.033238
0.035156 0.033592
0.035400 0.033920
0.035645 0.034012
0.035889 0.034041
0.036133 0.034674
0.036377 0.034723
0.036621 0.034941
0.036865 0.034988
0.037109 0.035698
0.037354 0.036302
0.037598 0.037218
0.037842 0.037756
0.038086 0.038346
0.038330 0.038503
0.038574 0.038681
0.038818 0.038688
0.039062 0.038798
0.039307 0.039352
0.039551 0.039456
0.039795 0.039489
0.040039 0.039895
0.040283 0.039895
0.040527 0.040139
0.040771 0.040205
0.041016 0.040338
0.041260 0.040338
0.041504 0.040340
0.041748 0.040357
0.041992 0.040505
0.042236 0.040960
0.042480 0.041306
0.042725 0.041958
0.042969 0.042018
0.043213 0.042129
0.043457 0.042589
0.043701 0.042731
0.043945 0.043448
0.044189 0.043507
0.044434 0.043613
0.044678 0.043849
0.044922 0.044054
0.045166 0.044177
0.045410 0.044214
0.045654 0.044233
0.045898 0.044437
0.046143 0.044476
0.046387 0.045278
0.046631 0.045545
0.046875 0.045661
0.047119 0.045718
0.047363 0.046197
0.047607 0.046283
0.047852 0.046421
0.048096 0.048912
0.048340 0.049052
0.048584 0.049712
0.048828 0.049720
0.049072 0.049721
0.049316 0.049910
0.049561 0.051326
0.049805 0.051629
0.050049 0.051631
0.050293 0.051685
0.050537 0.051804
0.050781 0.051929
0.051025 0.052537
0.051270 0.053114
0.051514 0.053220
0.051758 0.053230
0.052002 0.053410
0.052246 0.054046
0.052490 0.054249
0.052734 0.054323
0.052979 0.054499
0.053223 0.054547
0.053467 0.054555
0.053711 0.054806
0.053955 0.054815
0.054199 0.054871
0.054443 0.055065
0.054688 0.055815
0.054932 0.055818
0.055176 0.056128
0.055420 0.057526
0.055664 0.057626
0.055908 0.057697
0.056152 0.057700
0.056396 0.057708
0.056641 0.057710
0.056885 0.057728
0.057129 0.058279
0.057373 0.058403
0.057617 0.058405
0.057861 0.058411
0.058105 0.058421
0.058350 0.058468
0.058594 0.059281
0.058838 0.059509
0.059082 0.059617
0.059326 0.059621
0.059570 0.059630
0.059814 0.060603
0.060059 0.060638
0.060303 0.060651
0.060547 0.061238
0.060791 0.062064
0.061035 0.062066
0.061279 0.062069
0.061523 0.062169
0.061768 0.062171
0.062012 0.062200
0.062256 0.062569
0.062500 0.062727
0.062744 0.062771
0.062988 0.062838
0.063232 0.062927
0.063477 0.062955
0.063721 0.063199
0.063965 0.063274
0.064209 0.063358
0.064453 0.063359
0.064697 0.063566
0.064941 0.063627
0.065186 0.063656
0.065430 0.064280
0.065674 0.064331
0.065918 0.064444
0.066162 0.065247
0.066406 0.065676
0.066650 0.066202
0.066895 0.066498
0.067139 0.066582
0.067383 0.067134
0.067627 0.067820
0.067871 0.068225
0.068115 0.069229
0.068359 0.069236
0.068604 0.069240
0.068848 0.069306
0.069092 0.069413
0.069336 0.069539
0.069580 0.069659
0.069824 0.069770
0.070068 0.069940
0.070312 0.069944
0.070557 0.069973
0.070801 0.070595
0.071045 0.070822
0.071289 0.071142
0.071533 0.071202
0.071777 0.071338
0.072021 0.071476
0.072266 0.071558
0.072510 0.071677
0.072754 0.072187
0.072998 0.072296
0.073242 0.072559
0.073486 0.073144
0.073730 0.073346
0.073975 0.073670
0.074219 0.074185
0.074463 0.074784
0.074707 0.075603
0.074951 0.076079
0.075195 0.076121
0.075439 0.076141
0.075684 0.076308
0.075928 0.078438
0.076172 0.078532
0.076416 0.078566
0.076660 0.078620
0.076904 0.078810
0.077148 0.080188
0.077393 0.080189
0.077637 0.080189
0.077881 0.080276
0.078125 0.080590
0.078369 0.080729
0.078613 0.080877
0.078857 0.080999
0.079102 0.081141
0.079346 0.081285
0.079590 0.081293
0.079834 0.081301
0.080078 0.081305
0.080322 0.081932
0.080566 0.081958
0.080811 0.082311
0.081055 0.082520
0.081299 0.082913
0.081543 0.083430
0.081787 0.084671
0.082031 0.084684
0.082275 0.084766
0.082520 0.084982
0.082764 0.086258
0.083008 0.086301
0.083252 0.086564
0.083496 0.086584
0.083740 0.086603
0.083984 0.087207
0.084229 0.087229
0.084473 0.087617
0.084717 0.087677
0.084961 0.088503
0.085205 0.089250
0.085449 0.089251
0.085693 0.089588
0.085938 0.089605
0.086182 0.089617
0.086426 0.089810
0.086670 0.089816
0.086914 0.089883
0.087158 0.089895
0.087402 0.090152
0.087646 0.090162
0.087891 0.090571
0.088135 0.090576
0.088379 0.090780
0.088623 0.090806
0.088867 0.091554
0.089111 0.091943
0.089355 0.092062
0.089600 0.092299
0.089844 0.092309
0.090088 0.094420
0.090332 0.094451
0.090576 0.094458
0.090820 0.094640
0.091064 0.094646
0.091309 0.094758
0.091553 0.095569
0.091797 0.095569
0.092041 0.096165
0.092285 0.097506
0.092529 0.097512
0.092773 0.097716
0.093018 0.098032
0.093262 0.098035
0.093506 0.098138
0.093750 0.098255
0.093994 0.098259
0.094238 0.098261
0.094482 0.098354
0.094727 0.098358
0.094971 0.099363
0.095215 0.099370
0.095459 0.099434
0.095703 0.099711
0.095947 0.099940
0.096191 0.100037
0.096436 0.100667
0.096680 0.101071
0.096924 0.101108
0.097168 0.101200
0.097412 0.101233
0.097656 0.101395
0.097900 0.101823
0.098145 0.101959
0.098389 0.103596
0.098633 0.105369
0.098877 0.105522
0.099121 0.105527
0.099365 0.105547
0.099609 0.106012
0.099854 0.106013
0.100098 0.106164
0.100342 0.106165
0.100586 0.106186
0.100830 0.107264
0.101074 0.107433
0.101318 0.107461
0.101562 0.107496
0.101807 0.108137
0.102051 0.108431
0.102295 0.108979
0.102539 0.109202
0.102783 0.109225
0.103027 0.109310
0.103271 0.109367
0.103516 0.109370
0.103760 0.109639
0.104004 0.109657
0.104248 0.109720
0.104492 0.109721
0.104736 0.109728
0.104980 0.109769
0.105225 0.109771
0.105469 0.110240
0.105713 0.110612
0.105957 0.110675
0.106201 0.110732
0.106445 0.110780
0.106689 0.110969
0.106934 0.111080
0.107178 0.111204
0.107422 0.111360
0.107666 0.111439
0.107910 0.111448
0.108154 0.111593
0.108398 0.111843
0.108643 0.112043
0.108887 0.112068
0.109131 0.112093
0.109375 0.113030
0.109619 0.113181
0.109863 0.113187
0.110107 0.113450
0.110352 0.113821
0.110596 0.113828
0.110840 0.114122
0.111084 0.114188
0.111328 0.114441
0.111572 0.114596
0.111816 0.114706
0.112061 0.114977
0.112305 0.115165
0.112549 0.115435
0.112793 0.115695
0.113037 0.115723
0.113281 0.116897
0.113525 0.117586
0.113770 0.117850
0.114014 0.117957
0.114258 0.118073
0.114502 0.118128
0.114746 0.118597
0.114990 0.118979
0.115234 0.119104
0.115479 0.119510
0.115723 0.119543
0.115967 0.120001
0.116211 0.120004
0.116455 0.120099
0.116699 0.120449
0.116943 0.121368
0.117188 0.121499
0.117432 0.121785
0.117676 0.121906
0.117920 0.122033
0.118164 0.122035
0.118408 0.122035
0.118652 0.122064
0.118896 0.122210
0.119141 0.122211
0.119385 0.122943
0.119629 0.122945
0.119873 0.123265
0.120117 0.123277
0.120361 0.123292
0.120605 0.123294
0.120850 0.123556
0.121094 0.123557
0.121338 0.123622
0.121582 0.124303
0.121826 0.124440
0.122070 0.124444
0.122314 0.124444
0.122559 0.124482
0.122803 0.124484
0.123047 0.124709
0.123291 0.125485
0.123535 0.125866
0.123779 0.127103
0.124023 0.127328
0.124268 0.127328
0.124512 0.127430
0.124756 0.128547
0.125000 0.128668
0.125244 0.129015
0.125488 0.129132
0.125732 0.129185
0.125977 0.129761
0.126221 0.129956
0.126465 0.130783
0.126709 0.131153
0.126953 0.131714
0.127197 0.131997
0.127441 0.132046
0.127686 0.132335
0.127930 0.132986
0.128174 0.133150
0.128418 0.133829
0.128662 0.135492
0.128906 0.135599
0.129150 0.135780
0.129395 0.135908
0.129639 0.135913
0.129883 0.135939
0.130127 0.136003
0.130371 0.136230
0.130615 0.136309
0.130859 0.136870
0.131104 0.138296
0.131348 0.138366
0.131592 0.138456
0.131836 0.139181
0.132080 0.139370
0.132324 0.139407
0.132568 0.139528
0.132812 0.140647
0.133057 0.140687
0.133301 0.140827
0.133545 0.140885
0.133789 0.141058
0.134033 0.142048
0.134277 0.142223
0.134521 0.142307
0.134766 0.142607
0.135010 0.143281
0.135254 0.143315
0.135498 0.143335
0.135742 0.143647
0.135986 0.143756
0.136230 0.143794
0.136475 0.144057
0.136719 0.144114
0.136963 0.144332
0.137207 0.144430
0.137451 0.144433
0.137695 0.144847
0.137939 0.145334
0.138184 0.145370
0.138428 0.145755
0.138672 0.146057
0.138916 0.146660
0.139160 0.146702
0.139404 0.146822
0.139648 0.147736
0.139893 0.147869
0.140137 0.147898
0.140381 0.147924
0.140625 0.149323
0.140869 0.149346
0.141113 0.149419
0.141357 0.149665
0.141602 0.149685
0.141846 0.150230
0.142090 0.150783
0.142334 0.150786
0.142578 0.150858
0.142822 0.151463
0.143066 0.151527
0.143311 0.151947
0.143555 0.152063
0.143799 0.152390
0.144043 0.152789
0.144287 0.152908
0.144531 0.153547
0.144775 0.153656
0.145020 0.154790
0.145264 0.154790
0.145508 0.155012
0.145752 0.156007
0.145996 0.156042
0.146240 0.156147
0.146484 0.156539
0.146729 0.156540
0.146973 0.156689
0.147217 0.156785
0.147461 0.157140
0.147705 0.157140
0.147949 0.157637
0.148193 0.157638
0.148438 0.158343
0.148682 0.158356
0.148926 0.158371
0.149170 0.158387
0.149414 0.158393
0.149658 0.158479
0.149902 0.158484
0.150146 0.158609
0.150391 0.158826
0.150635 0.159490
0.150879 0.159732
0.151123 0.159742
0.151367 0.159805
0.151611 0.160341
0.151855 0.160462
0.152100 0.160544
0.152344 0.161582
0.152588 0.162253
0.152832 0.162304
0.153076 0.162743
0.153320 0.162788
0.153564 0.163940
0.153809 0.164253
0.154053 0.164558
0.154297 0.164699
0.154541 0.165026
0.154785 0.165344
0.155029 0.165359
0.155273 0.166282
0.155518 0.166335
0.155762 0.167492
0.156006 0.167546
0.156250 0.168430
0.156494 0.168488
0.156738 0.168679
0.156982 0.168746
0.157227 0.168749
0.157471 0.170438
