x p lik w1 w3
-1.180000 0.555374 0.028195 0.031318 0.000030
-1.170000 0.566279 0.029029 0.032877 0.000033
-1.160000 0.576756 0.029887 0.034475 0.000037
-1.150000 0.586776 0.030769 0.036109 0.000041
-1.140000 0.596306 0.031676 0.037777 0.000046
-1.130000 0.605318 0.032609 0.039478 0.000051
-1.120000 0.613784 0.033569 0.041209 0.000056
-1.110000 0.621677 0.034556 0.042966 0.000062
-1.100000 0.628972 0.035571 0.044747 0.000068
-1.090000 0.635646 0.036615 0.046548 0.000075
-1.080000 0.641678 0.037688 0.048367 0.000083
-1.070000 0.647048 0.038791 0.050200 0.000091
-1.060000 0.651738 0.039925 0.052042 0.000100
-1.050000 0.655733 0.041091 0.053890 0.000110
-1.040000 0.659020 0.042290 0.055740 0.000120
-1.030000 0.661588 0.043522 0.057587 0.000132
-1.020000 0.663428 0.044788 0.059427 0.000144
-1.010000 0.664535 0.046089 0.061255 0.000157
-1.000000 0.664904 0.047426 0.063067 0.000171
-0.990000 0.664535 0.048800 0.064858 0.000187
-0.980000 0.663428 0.050211 0.066623 0.000203
-0.970000 0.661588 0.051661 0.068357 0.000220
-0.960000 0.659020 0.053151 0.070055 0.000239
-0.950000 0.655733 0.054681 0.071713 0.000259
-0.940000 0.651738 0.056253 0.073324 0.000280
-0.930000 0.647048 0.057867 0.074885 0.000303
-0.920000 0.641678 0.059524 0.076391 0.000327
-0.910000 0.635646 0.061226 0.077836 0.000353
-0.900000 0.628972 0.062973 0.079217 0.000380
-0.890000 0.621677 0.064767 0.080528 0.000408
-0.880000 0.613784 0.066608 0.081766 0.000438
-0.870000 0.605318 0.068498 0.082926 0.000470
-0.860000 0.596306 0.070437 0.084004 0.000504
-0.850000 0.586776 0.072426 0.084996 0.000539
-0.840000 0.576756 0.074468 0.085900 0.000575
-0.830000 0.566279 0.076562 0.086711 0.000614
-0.820000 0.555374 0.078710 0.087428 0.000654
-0.810000 0.544075 0.080913 0.088046 0.000696
-0.800000 0.532413 0.083173 0.088565 0.000740
-0.790000 0.520423 0.085489 0.088981 0.000786
-0.780000 0.508138 0.087864 0.089294 0.000833
-0.770000 0.495592 0.090298 0.089502 0.000882
-0.760000 0.482819 0.092793 0.089605 0.000932
-0.750000 0.469853 0.095349 0.089601 0.000984
-0.740000 0.456727 0.097969 0.089490 0.001038
-0.730000 0.443475 0.100652 0.089274 0.001093
-0.720000 0.430130 0.103400 0.088951 0.001149
-0.710000 0.416722 0.106215 0.088524 0.001207
-0.700000 0.403285 0.109097 0.087994 0.001265
-0.690000 0.389847 0.112047 0.087362 0.001325
-0.680000 0.376438 0.115067 0.086631 0.001386
-0.670000 0.363087 0.118157 0.085803 0.001447
-0.660000 0.349821 0.121319 0.084880 0.001509
-0.650000 0.336665 0.124553 0.083866 0.001572
-0.640000 0.323644 0.127862 0.082763 0.001635
-0.630000 0.310781 0.131244 0.081577 0.001698
-0.620000 0.298098 0.134703 0.080309 0.001760
-0.610000 0.285615 0.138238 0.078966 0.001823
-0.600000 0.273351 0.141851 0.077550 0.001885
-0.590000 0.261323 0.145542 0.076067 0.001947
-0.580000 0.249546 0.149313 0.074521 0.002007
-0.570000 0.238036 0.153164 0.072917 0.002067
-0.560000 0.226805 0.157095 0.071260 0.002125
-0.550000 0.215864 0.161109 0.069555 0.002181
-0.540000 0.205222 0.165205 0.067807 0.002236
-0.530000 0.194889 0.169384 0.066022 0.002288
-0.520000 0.184870 0.173647 0.064204 0.002339
-0.510000 0.175171 0.177994 0.062359 0.002387
-0.500000 0.165798 0.182426 0.060492 0.002432
-0.490000 0.156751 0.186943 0.058607 0.002474
-0.480000 0.148034 0.191545 0.056711 0.002514
-0.470000 0.139647 0.196234 0.054807 0.002550
-0.460000 0.131588 0.201009 0.052901 0.002582
-0.450000 0.123858 0.205870 0.050997 0.002611
-0.440000 0.116452 0.210818 0.049100 0.002636
-0.430000 0.109367 0.215853 0.047215 0.002658
-0.420000 0.102600 0.220974 0.045344 0.002675
-0.410000 0.096146 0.226181 0.043493 0.002688
-0.400000 0.089997 0.231475 0.041664 0.002697
-0.390000 0.084149 0.236855 0.039862 0.002702
-0.380000 0.078595 0.242320 0.038090 0.002702
-0.370000 0.073326 0.247871 0.036351 0.002698
-0.360000 0.068335 0.253506 0.034647 0.002690
-0.350000 0.063614 0.259225 0.032981 0.002677
-0.340000 0.059155 0.265027 0.031356 0.002661
-0.330000 0.054949 0.270912 0.029773 0.002640
-0.320000 0.050987 0.276878 0.028234 0.002615
-0.310000 0.047260 0.282925 0.026742 0.002586
-0.300000 0.043759 0.289050 0.025297 0.002553
-0.290000 0.040475 0.295254 0.023901 0.002517
-0.280000 0.037398 0.301535 0.022554 0.002477
-0.270000 0.034521 0.307890 0.021257 0.002434
-0.260000 0.031833 0.314320 0.020012 0.002389
-0.250000 0.029327 0.320821 0.018817 0.002340
-0.240000 0.026993 0.327393 0.017675 0.002289
-0.230000 0.024823 0.334033 0.016583 0.002235
-0.220000 0.022809 0.340740 0.015544 0.002180
-0.210000 0.020942 0.347511 0.014555 0.002124
-0.200000 0.019216 0.354344 0.013618 0.002066
-0.190000 0.017623 0.361237 0.012732 0.002007
-0.180000 0.016155 0.368188 0.011896 0.001948
-0.170000 0.014806 0.375194 0.011110 0.001889
-0.160000 0.013569 0.382252 0.010374 0.001831
-0.150000 0.012439 0.389361 0.009686 0.001774
-0.140000 0.011408 0.396517 0.009047 0.001718
-0.130000 0.010473 0.403717 0.008456 0.001665
-0.120000 0.009627 0.410960 0.007913 0.001614
-0.110000 0.008867 0.418241 0.007417 0.001567
-0.100000 0.008187 0.425557 0.006968 0.001524
-0.090000 0.007584 0.432907 0.006566 0.001487
-0.080000 0.007054 0.440286 0.006211 0.001455
-0.070000 0.006594 0.447692 0.005904 0.001430
-0.060000 0.006201 0.455121 0.005644 0.001412
-0.050000 0.005873 0.462570 0.005433 0.001404
-0.040000 0.005607 0.470036 0.005271 0.001407
-0.030000 0.005402 0.477515 0.005159 0.001421
