t x
0.682500 -1.270846
0.681250 -1.064718
0.680000 -0.875986
0.678750 -0.789556
0.677500 -0.685982
0.676250 -0.716924
0.675000 -0.537076
0.673750 -0.456604
0.672500 -0.528966
0.671250 -0.546030
0.670000 -0.675461
0.668750 -0.547735
0.667500 -0.492696
0.666250 -0.244885
0.665000 -0.182160
0.663750 -0.249105
0.662500 -0.570522
0.661250 -0.587184
0.660000 -0.685831
0.658750 -0.724434
0.657500 -0.772088
0.656250 -0.854235
0.655000 -0.951615
0.653750 -0.839214
0.652500 -0.728151
0.651250 -0.600892
0.650000 -0.386399
0.648750 -0.678526
0.647500 -0.560915
0.646250 -0.501989
0.645000 -0.559350
0.643750 -0.770860
0.642500 -0.522256
0.641250 -0.424927
0.640000 -0.679828
0.638750 -0.785572
0.637500 -0.691557
0.636250 -0.661054
0.635000 -0.622671
0.633750 -0.719413
0.632500 -0.537671
0.631250 -0.675026
0.630000 -0.750520
0.628750 -0.776487
0.627500 -0.506623
0.626250 -0.669080
0.625000 -0.701525
0.623750 -0.499415
0.622500 -0.303978
0.621250 -0.004340
0.620000 -0.141423
0.618750 -0.082198
0.617500 0.030995
0.616250 0.061519
0.615000 0.142629
0.613750 0.205347
0.612500 0.193141
0.611250 0.015855
0.610000 0.036081
0.608750 0.094100
0.607500 0.212451
0.606250 0.196615
0.605000 0.228050
0.603750 0.097950
0.602500 0.361382
0.601250 0.358756
0.600000 0.185925
0.598750 0.011912
0.597500 0.000912
0.596250 0.006682
0.595000 -0.221796
0.593750 -0.340714
0.592500 -0.239862
0.591250 -0.264907
0.590000 -0.275371
0.588750 -0.307707
0.587500 -0.327656
0.586250 -0.076466
0.585000 -0.294147
0.583750 -0.315246
0.582500 -0.386175
0.581250 -0.418833
0.580000 -0.327443
0.578750 -0.605645
0.577500 -0.788012
0.576250 -1.029637
0.575000 -1.056951
0.573750 -1.143209
0.572500 -1.028685
0.571250 -0.810287
0.570000 -0.814125
0.568750 -0.928075
0.567500 -1.055260
0.566250 -1.062240
0.565000 -0.987088
0.563750 -1.067197
0.562500 -0.976135
0.561250 -0.993061
0.560000 -0.919992
0.558750 -0.848784
0.557500 -0.763949
0.556250 -0.853610
0.555000 -0.804991
0.553750 -0.753286
0.552500 -0.852954
0.551250 -1.085771
0.550000 -1.257964
0.548750 -1.246750
0.547500 -1.112028
0.546250 -1.044061
0.545000 -0.921502
0.543750 -0.846732
0.542500 -0.885038
0.541250 -1.026777
0.540000 -1.167361
0.538750 -1.193546
0.537500 -1.069961
0.536250 -0.882167
0.535000 -0.768935
0.533750 -0.603981
0.532500 -0.594501
0.531250 -0.473572
0.530000 -0.412260
0.528750 -0.430163
0.527500 -0.579554
0.526250 -0.388527
0.525000 -0.364469
0.523750 -0.303392
0.522500 -0.410465
0.521250 -0.248560
0.520000 -0.092290
0.518750 0.076460
0.517500 0.144816
0.516250 0.069526
0.515000 -0.046088
0.513750 -0.067275
0.512500 -0.114883
0.511250 -0.189826
0.510000 -0.040312
0.508750 -0.022024
0.507500 -0.216844
0.506250 -0.332593
0.505000 -0.314410
0.503750 -0.211556
0.502500 -0.057306
0.501250 0.039499
0.500000 -0.199644
0.498750 -0.212891
0.497500 -0.338905
0.496250 -0.391921
0.495000 -0.400846
0.493750 -0.239688
0.492500 -0.332746
0.491250 -0.325475
0.490000 -0.449095
0.488750 -0.418983
0.487500 -0.402024
0.486250 -0.195632
0.485000 -0.231616
0.483750 -0.182610
0.482500 -0.376261
0.481250 -0.517686
0.480000 -0.400810
0.478750 -0.379742
0.477500 -0.213264
0.476250 -0.320528
0.475000 -0.220217
0.473750 -0.083400
0.472500 -0.130772
0.471250 -0.079636
0.470000 0.014787
0.468750 -0.025639
0.467500 -0.140892
0.466250 -0.001990
0.465000 0.136480
0.463750 0.149172
0.462500 0.082844
0.461250 0.256542
0.460000 0.341486
0.458750 0.238679
0.457500 0.207981
0.456250 0.082194
0.455000 -0.032756
0.453750 0.036344
0.452500 -0.190750
0.451250 -0.177869
0.450000 -0.292505
0.448750 -0.326402
0.447500 -0.344138
0.446250 -0.340084
0.445000 -0.290110
0.443750 -0.128022
0.442500 -0.217556
0.441250 -0.312252
0.440000 -0.341535
0.438750 -0.256345
0.437500 -0.233241
0.436250 -0.024368
0.435000 -0.066783
0.433750 -0.173136
0.432500 -0.023099
0.431250 -0.116590
0.430000 -0.112382
0.428750 -0.177490
0.427500 -0.149135
0.426250 -0.168007
0.425000 -0.131622
0.423750 -0.121781
0.422500 -0.155028
0.421250 -0.419906
0.420000 -0.385688
0.418750 -0.424282
0.417500 -0.373211
0.416250 -0.313236
0.415000 -0.196773
0.413750 -0.071732
0.412500 -0.170999
0.411250 -0.329123
0.410000 -0.173660
0.408750 -0.292429
0.407500 -0.207605
0.406250 -0.124172
0.405000 -0.185262
0.403750 -0.142638
0.402500 -0.129155
0.401250 -0.189166
0.400000 -0.346024
0.398750 -0.376979
0.397500 -0.368379
0.396250 -0.424281
0.395000 -0.320347
0.393750 -0.380592
0.392500 -0.451964
0.391250 -0.400495
0.390000 -0.184101
0.388750 -0.107971
0.387500 -0.345351
0.386250 -0.345982
0.385000 -0.192014
0.383750 -0.170118
0.382500 -0.352769
0.381250 -0.429582
0.380000 -0.438053
0.378750 -0.375599
0.377500 -0.278545
0.376250 -0.122110
0.375000 -0.201047
0.373750 -0.202603
0.372500 -0.255474
0.371250 -0.358891
0.370000 -0.240255
0.368750 -0.183922
0.367500 -0.179247
0.366250 -0.336854
0.365000 -0.305879
0.363750 -0.310466
0.362500 -0.374348
0.361250 -0.312376
0.360000 -0.307685
0.358750 -0.235305
0.357500 -0.125297
0.356250 0.004719
0.355000 -0.075158
0.353750 0.109234
0.352500 0.067432
0.351250 0.041518
0.350000 -0.051211
0.348750 -0.057661
0.347500 -0.011429
0.346250 0.035226
0.345000 -0.056072
0.343750 -0.116400
0.342500 -0.154256
0.341250 -0.047735
0.340000 0.010806
0.338750 0.200712
0.337500 0.241213
0.336250 0.318968
0.335000 0.448953
0.333750 0.483942
0.332500 0.538262
0.331250 0.498181
0.330000 0.623709
0.328750 0.477174
0.327500 0.343149
0.326250 0.381297
0.325000 0.480907
0.323750 0.386162
0.322500 0.338966
0.321250 0.450230
0.320000 0.333911
0.318750 0.330113
0.317500 0.383888
0.316250 0.224807
0.315000 0.193863
0.313750 0.220053
0.312500 0.097756
0.311250 0.011640
0.310000 -0.132804
0.308750 -0.182191
0.307500 -0.181644
0.306250 0.024714
0.305000 0.035884
0.303750 0.041109
0.302500 0.130687
0.301250 0.086309
0.300000 0.089707
0.298750 0.173668
0.297500 0.167082
0.296250 -0.010678
0.295000 -0.076516
0.293750 -0.036927
0.292500 -0.139740
0.291250 -0.285813
0.290000 -0.224168
0.288750 -0.268772
0.287500 -0.286807
0.286250 -0.236830
0.285000 -0.180817
0.283750 -0.109456
0.282500 -0.219347
0.281250 -0.262099
0.280000 -0.144292
0.278750 -0.154854
0.277500 -0.222440
0.276250 -0.289278
0.275000 -0.239051
0.273750 -0.203353
0.272500 -0.273472
0.271250 -0.317903
0.270000 -0.396556
0.268750 -0.321106
0.267500 -0.346843
0.266250 -0.206046
0.265000 -0.174953
0.263750 -0.093089
0.262500 -0.204747
0.261250 -0.228607
0.260000 -0.322780
0.258750 -0.204013
0.257500 -0.145637
0.256250 -0.163111
0.255000 -0.140195
0.253750 -0.339161
0.252500 -0.403427
0.251250 -0.511665
0.250000 -0.607610
0.248750 -0.565282
0.247500 -0.634452
0.246250 -0.546472
0.245000 -0.684990
0.243750 -0.762319
0.242500 -0.625614
0.241250 -0.588141
0.240000 -0.597245
0.238750 -0.617678
0.237500 -0.641768
0.236250 -0.647507
0.235000 -0.674927
0.233750 -0.571597
0.232500 -0.476868
0.231250 -0.427683
0.230000 -0.507075
0.228750 -0.398469
0.227500 -0.260087
0.226250 -0.338950
0.225000 -0.341611
0.223750 -0.335926
0.222500 -0.224095
0.221250 -0.245754
0.220000 -0.295228
0.218750 -0.305230
0.217500 -0.273932
0.216250 -0.200209
0.215000 -0.262933
0.213750 -0.187807
0.212500 -0.138077
0.211250 -0.212738
0.210000 -0.092555
0.208750 -0.039042
0.207500 0.025561
0.206250 -0.007578
0.205000 0.077302
0.203750 0.031454
0.202500 0.151253
0.201250 0.281305
0.200000 0.242964
0.198750 0.368449
0.197500 0.453120
0.196250 0.606069
0.195000 0.703251
0.193750 0.647286
0.192500 0.583047
0.191250 0.532490
0.190000 0.552724
0.188750 0.492148
0.187500 0.412642
0.186250 0.498178
0.185000 0.550935
0.183750 0.486267
0.182500 0.525601
0.181250 0.531323
0.180000 0.543853
0.178750 0.555179
0.177500 0.554017
0.176250 0.555622
0.175000 0.489384
0.173750 0.440020
0.172500 0.409027
0.171250 0.416174
0.170000 0.435134
0.168750 0.422014
0.167500 0.431547
0.166250 0.336785
0.165000 0.364543
0.163750 0.447417
0.162500 0.410842
0.161250 0.489810
0.160000 0.491765
0.158750 0.548423
0.157500 0.524857
0.156250 0.628889
0.155000 0.681165
0.153750 0.675386
0.152500 0.729890
0.151250 0.704769
0.150000 0.627580
0.148750 0.585044
0.147500 0.571825
0.146250 0.619632
0.145000 0.643160
0.143750 0.633020
0.142500 0.556354
0.141250 0.577572
0.140000 0.590304
0.138750 0.642922
0.137500 0.642681
0.136250 0.594769
0.135000 0.561125
0.133750 0.619797
0.132500 0.760293
0.131250 0.786493
0.130000 0.754889
0.128750 0.759914
0.127500 0.605844
0.126250 0.641599
0.125000 0.645164
0.123750 0.711305
0.122500 0.628044
0.121250 0.575480
0.120000 0.581615
0.118750 0.568741
0.117500 0.627299
0.116250 0.573992
0.115000 0.553891
0.113750 0.541299
0.112500 0.480849
0.111250 0.470064
0.110000 0.407950
0.108750 0.476696
0.107500 0.500138
0.106250 0.540451
0.105000 0.551530
0.103750 0.564385
0.102500 0.565448
0.101250 0.656414
0.100000 0.676303
0.098750 0.652845
0.097500 0.564593
0.096250 0.519961
0.095000 0.440670
0.093750 0.485515
0.092500 0.512370
0.091250 0.510725
0.090000 0.514255
0.088750 0.614778
0.087500 0.574577
0.086250 0.575089
0.085000 0.623388
0.083750 0.673038
0.082500 0.675968
0.081250 0.791123
0.080000 0.704942
0.078750 0.773368
0.077500 0.745324
0.076250 0.768319
0.075000 0.772826
0.073750 0.766392
0.072500 0.857508
0.071250 0.899969
0.070000 0.976596
0.068750 0.964556
0.067500 0.926063
0.066250 0.919291
0.065000 0.883115
0.063750 0.883876
0.062500 0.822802
0.061250 0.850497
0.060000 0.780457
0.058750 0.831959
0.057500 0.772953
0.056250 0.811837
0.055000 0.779185
0.053750 0.769642
0.052500 0.726845
0.051250 0.767082
0.050000 0.786449
0.048750 0.810012
0.047500 0.840243
0.046250 0.849953
0.045000 0.846388
0.043750 0.803216
0.042500 0.839400
0.041250 0.884088
0.040000 0.874759
0.038750 0.929480
0.037500 0.926660
0.036250 0.863091
0.035000 0.895579
0.033750 0.909527
0.032500 0.902614
0.031250 0.960000
0.030000 0.973167
0.028750 0.990550
0.027500 0.984230
0.026250 0.998204
0.025000 1.003929
0.023750 1.008328
0.022500 1.002634
0.021250 0.972145
0.020000 0.961339
0.018750 0.990623
0.017500 0.979043
0.016250 0.970247
0.015000 0.957345
0.013750 0.983702
0.012500 0.991371
0.011250 1.011792
0.010000 0.992870
0.008750 0.961777
0.007500 0.969332
0.006250 0.973727
0.005000 0.984642
0.003750 1.000693
0.002500 0.990598
0.001250 1.000444
-0.000000 0.998918
