x y u v
-2.000000 -2.000000 0.211067 0.212892
-1.666667 -2.000000 0.183243 0.221843
-1.333333 -2.000000 0.152481 0.230792
-1.000000 -2.000000 0.118503 0.239186
-0.666667 -2.000000 0.081321 0.246232
-0.333333 -2.000000 0.041445 0.251000
0.000000 -2.000000 0.000000 0.252695
0.333333 -2.000000 -0.041445 0.251000
0.666667 -2.000000 -0.081321 0.246232
1.000000 -2.000000 -0.118503 0.239186
1.333333 -2.000000 -0.152481 0.230792
1.666667 -2.000000 -0.183243 0.221843
2.000000 -2.000000 -0.211067 0.212892
-2.000000 -1.666667 0.220117 0.184961
-1.666667 -1.666667 0.192689 0.194346
-1.333333 -1.666667 0.161902 0.204159
-1.000000 -1.666667 0.127164 0.213842
-0.666667 -1.666667 0.088160 0.222403
-0.333333 -1.666667 0.045278 0.228463
0.000000 -1.666667 -0.000000 0.230676
0.333333 -1.666667 -0.045278 0.228463
0.666667 -1.666667 -0.088160 0.222403
1.000000 -1.666667 -0.127164 0.213842
1.333333 -1.666667 -0.161902 0.204159
1.666667 -1.666667 -0.192689 0.194346
2.000000 -1.666667 -0.220117 0.184961
-2.000000 -1.333333 0.229209 0.154025
-1.666667 -1.333333 0.202616 0.163435
-1.333333 -1.333333 0.172360 0.173831
-1.000000 -1.333333 0.137406 0.184808
-0.666667 -1.333333 0.096786 0.195289
-0.333333 -1.333333 0.050366 0.203269
0.000000 -1.333333 0.000000 0.206321
0.333333 -1.333333 -0.050366 0.203269
0.666667 -1.333333 -0.096786 0.195289
1.000000 -1.333333 -0.137406 0.184808
1.333333 -1.333333 -0.172360 0.173831
1.666667 -1.333333 -0.202616 0.163435
2.000000 -1.333333 -0.229209 0.154025
-2.000000 -1.000000 0.237780 0.119783
-1.666667 -1.000000 0.212464 0.128486
-1.333333 -1.000000 0.183469 0.138733
-1.000000 -1.000000 0.149281 0.150547
-0.666667 -1.000000 0.107860 0.163191
-0.333333 -1.000000 0.057531 0.174108
0.000000 -1.000000 -0.000000 0.178680
0.333333 -1.000000 -0.057531 0.174108
0.666667 -1.000000 -0.107860 0.163191
1.000000 -1.000000 -0.149281 0.150547
1.333333 -1.000000 -0.183469 0.138733
1.666667 -1.000000 -0.212464 0.128486
2.000000 -1.000000 -0.237780 0.119783
-2.000000 -0.666667 0.245009 0.082224
-1.666667 -0.666667 0.221223 0.089140
-1.333333 -0.666667 0.194148 0.097833
-1.000000 -0.666667 0.162088 0.108943
-0.666667 -0.666667 0.121898 0.122928
-0.333333 -0.666667 0.068457 0.138093
0.000000 -0.666667 -0.000000 0.145895
0.333333 -0.666667 -0.068457 0.138093
0.666667 -0.666667 -0.121898 0.122928
1.000000 -0.666667 -0.162088 0.108943
1.333333 -0.666667 -0.194148 0.097833
1.666667 -0.666667 -0.221223 0.089140
2.000000 -0.666667 -0.245009 0.082224
-2.000000 -0.333333 0.249922 0.041865
-1.666667 -0.333333 0.227455 0.045771
-1.333333 -0.333333 0.202334 0.050940
-1.000000 -0.333333 0.173243 0.058196
-0.666667 -0.333333 0.137286 0.069210
-0.333333 -0.333333 0.086200 0.086939
0.000000 -0.333333 0.000000 0.103174
0.333333 -0.333333 -0.086200 0.086939
0.666667 -0.333333 -0.137286 0.069210
1.000000 -0.333333 -0.173243 0.058196
1.333333 -0.333333 -0.202334 0.050940
1.666667 -0.333333 -0.227455 0.045771
2.000000 -0.333333 -0.249922 0.041865
-2.000000 0.000000 0.251680 -0.000126
-1.666667 0.000000 0.229746 -0.000090
-1.333333 0.000000 0.205486 -0.000056
-1.000000 0.000000 0.177954 -0.000024
-0.666667 0.000000 0.145297 0.000006
-0.333333 0.000000 0.102740 0.000039
0.000000 0.000000 0.000000 0.002251
0.333333 0.000000 -0.102740 0.000039
0.666667 0.000000 -0.145297 0.000006
1.000000 0.000000 -0.177954 -0.000024
1.333333 0.000000 -0.205486 -0.000056
1.666667 0.000000 -0.229746 -0.000090
2.000000 0.000000 -0.251680 -0.000126
-2.000000 0.333333 0.249950 -0.042101
-1.666667 0.333333 0.227484 -0.045934
-1.333333 0.333333 0.202363 -0.051034
-1.000000 0.333333 0.173274 -0.058226
-0.666667 0.333333 0.137322 -0.069185
-0.333333 0.333333 0.086243 -0.086877
0.000000 0.333333 -0.000000 -0.103121
0.333333 0.333333 -0.086243 -0.086877
0.666667 0.333333 -0.137322 -0.069185
1.000000 0.333333 -0.173274 -0.058226
1.333333 0.333333 -0.202363 -0.051034
1.666667 0.333333 -0.227484 -0.045934
2.000000 0.333333 -0.249950 -0.042101
-2.000000 0.666667 0.245075 -0.082418
-1.666667 0.666667 0.221292 -0.089260
-1.333333 0.666667 0.194220 -0.097886
-1.000000 0.666667 0.162164 -0.108939
-0.666667 0.666667 0.121977 -0.122884
-0.333333 0.666667 0.068520 -0.138040
0.000000 0.666667 0.000000 -0.145851
0.333333 0.666667 -0.068520 -0.138040
0.666667 0.666667 -0.121977 -0.122884
1.000000 0.666667 -0.162164 -0.108939
1.333333 0.666667 -0.194220 -0.097886
1.666667 0.666667 -0.221292 -0.089260
2.000000 0.666667 -0.245075 -0.082418
-2.000000 1.000000 0.237899 -0.119921
-1.666667 1.000000 0.212588 -0.128553
-1.333333 1.000000 0.183597 -0.138741
-1.000000 1.000000 0.149410 -0.150511
-0.666667 1.000000 0.107977 -0.163135
-0.333333 1.000000 0.057608 -0.174055
0.000000 1.000000 -0.000000 -0.178634
0.333333 1.000000 -0.057608 -0.174055
0.666667 1.000000 -0.107977 -0.163135
1.000000 1.000000 -0.149410 -0.150511
1.333333 1.000000 -0.183597 -0.138741
1.666667 1.000000 -0.212588 -0.128553
2.000000 1.000000 -0.237899 -0.119921
-2.000000 1.333333 0.229393 -0.154104
-1.666667 1.333333 0.202804 -0.163452
-1.333333 1.333333 0.172549 -0.173800
-1.000000 1.333333 0.137585 -0.184749
-0.666667 1.333333 0.096934 -0.195224
-0.333333 1.333333 0.050454 -0.203211
0.000000 1.333333 -0.000000 -0.206270
0.333333 1.333333 -0.050454 -0.203211
0.666667 1.333333 -0.096934 -0.195224
1.000000 1.333333 -0.137585 -0.184749
1.333333 1.333333 -0.172549 -0.173800
1.666667 1.333333 -0.202804 -0.163452
2.000000 1.333333 -0.229393 -0.154104
-2.000000 1.666667 0.220372 -0.184984
-1.666667 1.666667 0.192945 -0.194318
-1.333333 1.666667 0.162149 -0.204098
-1.000000 1.666667 0.127388 -0.213765
-0.666667 1.666667 0.088335 -0.222328
