x y u v
-0.333333 1.666667 0.045375 -0.228398
0.000000 1.666667 0.000000 -0.230617
0.333333 1.666667 -0.045375 -0.228398
0.666667 1.666667 -0.088335 -0.222328
1.000000 1.666667 -0.127388 -0.213765
1.333333 1.666667 -0.162149 -0.204098
1.666667 1.666667 -0.192945 -0.194318
2.000000 1.666667 -0.220372 -0.184984
-2.000000 2.000000 0.211394 -0.212867
-1.666667 2.000000 0.183564 -0.221778
-1.333333 2.000000 0.152782 -0.230706
-1.000000 2.000000 0.118765 -0.239095
-0.666667 2.000000 0.081518 -0.246148
-0.333333 2.000000 0.041552 -0.250926
0.000000 2.000000 0.000000 -0.252627
0.333333 2.000000 -0.041552 -0.250926
0.666667 2.000000 -0.081518 -0.246148
1.000000 2.000000 -0.118765 -0.239095
1.333333 2.000000 -0.152782 -0.230706
1.666667 2.000000 -0.183564 -0.221778
2.000000 2.000000 -0.211394 -0.212867
