x v
0.49829102 -0.5337479
0.50024414 -0.55113116
0.50219727 -0.56031662
0.50415039 -0.5593667
0.50610352 -0.54730999
0.50805664 -0.52424231
0.51000977 -0.49129689
0.51196289 -0.45049595
0.51391602 -0.40451155
0.51586914 -0.356373
0.51782227 -0.30916114
0.51977539 -0.26572666
0.52172852 -0.22846102
0.52368164 -0.19913632
0.52563477 -0.17881805
0.52758789 -0.16784292
0.52954102 -0.1658462
0.53149414 -0.1718199
0.53344727 -0.18418447
0.53540039 -0.2008628
0.53735352 -0.21935314
0.53930664 -0.23680675
0.54125977 -0.25012261
0.54321289 -0.25607455
0.54516602 -0.25148478
0.54711914 -0.23345019
0.54907227 -0.19961706
0.55102539 -0.14848576
0.55297852 -0.079713502
0.55493164 0.0056273841
0.55688477 0.10488342
0.55883789 0.21379138
0.56079102 0.32662173
0.56274414 0.43651032
0.56469727 0.53597028
0.56665039 0.61754937
0.56860352 0.6745725
0.57055664 0.70188898
0.57250977 0.69653315
0.57446289 0.65820784
0.57641602 0.58951337
0.57836914 0.49587086
0.58032227 0.38512318
0.58227539 0.26683757
0.58422852 0.15137387
0.58618164 0.048817142
0.58813477 -0.032103184
0.59008789 -0.08497656
0.59204102 -0.10643408
0.59399414 -0.096532918
0.59594727 -0.05874375
0.59790039 0.00046876213
0.59985352 0.072430277
0.60180664 0.14731527
0.60375977 0.21535106
0.60571289 0.26801638
0.60766602 0.29908122
0.60961914 0.30535172
0.61157227 0.28702111
0.61352539 0.24757745
0.61547852 0.19327766
0.61743164 0.13225504
0.61938477 0.073377687
0.62133789 0.025010053
0.62329102 -0.0061553415
0.62524414 -0.016036596
0.62719727 -0.0037418026
0.62915039 0.028293006
0.63110352 0.074629878
0.63305664 0.12757809
0.63500977 0.17826708
0.63696289 0.21789837
0.63891602 0.23900534
0.64086914 0.23654715
0.64282227 0.20868384
0.64477539 0.15712195
0.64672852 0.086977763
0.64868164 0.0061707902
0.65063477 -0.075575524
0.65258789 -0.14799479
0.65454102 -0.2016326
0.65649414 -0.22911389
0.65844727 -0.22615192
0.66040039 -0.19216256
0.66235352 -0.13040004
0.66430664 -0.047594733
0.66625977 0.046859766
0.66821289 0.14206282
0.67016602 0.22695353
0.67211914 0.29167104
0.67407227 0.32875125
0.67602539 0.33400674
0.67797852 0.30698099
0.67993164 0.2509266
0.68188477 0.17232165
0.68383789 0.079999479
0.68579102 -0.015982898
0.68774414 -0.10558123
0.68969727 -0.17993961
0.69165039 -0.23235349
0.69360352 -0.25890307
0.69555664 -0.25869007
0.69750977 -0.23366844
0.69946289 -0.18811689
0.70141602 -0.12784934
0.70336914 -0.059291979
0.70532227 0.011431607
0.70727539 0.07927422
0.70922852 0.14079299
0.71118164 0.19436928
0.71313477 0.24010917
0.71508789 0.27946387
0.71704102 0.31465241
0.71899414 0.34799781
0.72094727 0.38129819
0.72290039 0.41534496
0.72485352 0.4496726
0.72680664 0.48258357
0.72875977 0.51144388
0.73071289 0.53319752
0.73266602 0.54500935
0.73461914 0.54492135
0.73657227 0.53240192
0.73852539 0.50868186
0.74047852 0.47680302
0.74243164 0.44135036
0.74438477 0.40788993
0.74633789 0.38218453
0.74829102 0.36929877
0.75024414 0.37272905
0.75219727 0.3936973
0.75415039 0.43072912
0.75610352 0.47959981
0.75805664 0.53368003
0.76000977 0.58465409
0.76196289 0.62352801
0.76391602 0.64179722
0.76586914 0.632616
0.76782227 0.59180363
0.76977539 0.51854011
0.77172852 0.41564336
0.77368164 0.28937604
0.77563477 0.14879497
0.77758789 0.0047206427
0.77954102 -0.13154055
0.78149414 -0.24955197
0.78344727 -0.34099705
0.78540039 -0.40065354
0.78735352 -0.42695736
0.78930664 -0.42207841
0.79125977 -0.39149832
0.79321289 -0.34315028
0.79516602 -0.28624315
0.79711914 -0.22993712
0.79907227 -0.18205957
0.80102539 -0.14804426
0.80297852 -0.13024505
0.80493164 -0.12772132
0.80688477 -0.13652405
0.80883789 -0.1504385
0.81079102 -0.16207221
0.81274414 -0.16412595
0.81469727 -0.15065703
0.81665039 -0.11814385
0.81860352 -0.066188278
0.82055664 0.0022562944
0.82250977 0.081174222
0.82446289 0.16226178
0.82641602 0.2360815
0.82836914 0.29343404
0.83032227 0.32675003
0.83227539 0.3312972
0.83422852 0.30602077
0.83618164 0.25388416
0.83813477 0.18164644
0.84008789 0.099091892
0.84204102 0.017805935
0.84399414 -0.050342234
0.84594727 -0.09480537
0.84790039 -0.10783086
0.84985352 -0.085593544
0.85180664 -0.02882566
0.85375977 0.057152327
0.85571289 0.16301486
0.85766602 0.27655944
