r poi heat adv
179 4.7482824e-05 1e-16 1
180 4.7188189e-05 1e-16 1
181 4.6899809e-05 1e-16 1
182 4.6617563e-05 1e-16 1
183 4.6341337e-05 1e-16 1
184 4.6071017e-05 1e-16 1
185 4.5806495e-05 1e-16 1
186 4.5547664e-05 1e-16 1
187 4.5294421e-05 1e-16 1
188 4.5046668e-05 1e-16 1
189 4.4804306e-05 1e-16 1
190 4.4567241e-05 1e-16 1
191 4.4335383e-05 1e-16 1
192 4.4108641e-05 1e-16 1
193 4.3886931e-05 1e-16 1
194 4.3670169e-05 1e-16 1
195 4.3458272e-05 1e-16 1
196 4.3251163e-05 1e-16 1
197 4.3048765e-05 1e-16 1
198 4.2851003e-05 1e-16 1
199 4.2657805e-05 1e-16 1
200 4.2469101e-05 1e-16 1
201 4.2284824e-05 1e-16 1
202 4.2104907e-05 1e-16 1
203 4.1929287e-05 1e-16 1
204 4.1757901e-05 1e-16 1
205 4.1590688e-05 1e-16 1
206 4.1427591e-05 1e-16 1
207 4.1268553e-05 1e-16 1
208 4.1113519e-05 1e-16 1
209 4.0962435e-05 1e-16 1
210 4.0815251e-05 1e-16 1
211 4.0671915e-05 1e-16 1
212 4.0532379e-05 1e-16 1
213 4.0396597e-05 1e-16 1
214 4.0264523e-05 1e-16 1
215 4.0136113e-05 1e-16 1
216 4.0011324e-05 1e-16 1
217 3.9890115e-05 1e-16 1
218 3.9772446e-05 1e-16 1
219 3.9658279e-05 1e-16 1
220 3.9547576e-05 1e-16 1
221 3.9440301e-05 1e-16 1
222 3.9336421e-05 1e-16 1
223 3.9235901e-05 1e-16 1
224 3.9138709e-05 1e-16 1
225 3.9044814e-05 1e-16 1
226 3.8954186e-05 1e-16 1
227 3.8866796e-05 1e-16 1
228 3.8782618e-05 1e-16 1
229 3.8701623e-05 1e-16 1
230 3.8623787e-05 1e-16 1
231 3.8549085e-05 1e-16 1
232 3.8477494e-05 1e-16 1
233 3.8408992e-05 1e-16 1
234 3.8343558e-05 1e-16 1
235 3.828117e-05 1e-16 1
236 3.822181e-05 1e-16 1
237 3.816546e-05 1e-16 1
238 3.8112102e-05 1e-16 1
239 3.806172e-05 1e-16 1
240 3.8014297e-05 1e-16 1
241 3.7969821e-05 1e-16 1
242 3.7928277e-05 1e-16 1
243 3.7889653e-05 1e-16 1
244 3.7853936e-05 1e-16 1
245 3.7821117e-05 1e-16 1
246 3.7791184e-05 1e-16 1
247 3.7764129e-05 1e-16 1
248 3.7739945e-05 1e-16 1
249 3.7718622e-05 1e-16 1
250 3.7700156e-05 1e-16 1
251 3.7684539e-05 1e-16 1
252 3.7671769e-05 1e-16 1
253 3.7661841e-05 1e-16 1
254 3.7654751e-05 1e-16 1
255 3.7650498e-05 1e-16 1
256 3.764908e-05 1e-16 1
