x y z
0.054688 0.335938 0.036316
0.054688 0.351562 0.035461
0.054688 0.367188 0.034607
0.054688 0.382812 0.033752
0.054688 0.398438 0.032898
0.054688 0.414062 0.032043
0.054688 0.429688 0.031189
0.054688 0.445312 0.030334
0.054688 0.460938 0.029480
0.054688 0.476562 0.028625
0.054688 0.492188 0.027771
0.054688 0.507812 0.026917
0.054688 0.523438 0.026062
0.054688 0.539062 0.025208
0.054688 0.554688 0.024353
0.054688 0.570312 0.023499
0.054688 0.585938 0.022644
0.054688 0.601562 0.021790
0.054688 0.617188 0.020935
0.054688 0.632812 0.020081
0.054688 0.648438 0.019226
0.054688 0.664062 0.018372
0.054688 0.679688 0.017517
0.054688 0.695312 0.016663
0.054688 0.710938 0.015808
0.054688 0.726562 0.014954
0.054688 0.742188 0.014099
0.054688 0.757812 0.013245
0.054688 0.773438 0.012390
0.054688 0.789062 0.011536
0.054688 0.804688 0.010681
0.054688 0.820312 0.009827
0.054688 0.835938 0.008972
0.054688 0.851562 0.008118
0.054688 0.867188 0.007263
0.054688 0.882812 0.006409
0.054688 0.898438 0.005554
0.054688 0.914062 0.004700
0.054688 0.929688 0.003845
0.054688 0.945312 0.002991
0.054688 0.960938 0.002136
0.054688 0.976562 0.001282
0.054688 0.992188 0.000427
0.070312 0.007812 0.007263
0.070312 0.023438 0.021790
0.070312 0.039062 0.036316
0.070312 0.054688 0.050842
0.070312 0.070312 0.065369
0.070312 0.085938 0.064270
0.070312 0.101562 0.063171
0.070312 0.117188 0.062073
0.070312 0.132812 0.060974
0.070312 0.148438 0.059875
0.070312 0.164062 0.058777
0.070312 0.179688 0.057678
0.070312 0.195312 0.056580
0.070312 0.210938 0.055481
0.070312 0.226562 0.054382
0.070312 0.242188 0.053284
0.070312 0.257812 0.052185
0.070312 0.273438 0.051086
0.070312 0.289062 0.049988
0.070312 0.304688 0.048889
0.070312 0.320312 0.047791
0.070312 0.335938 0.046692
0.070312 0.351562 0.045593
0.070312 0.367188 0.044495
0.070312 0.382812 0.043396
0.070312 0.398438 0.042297
0.070312 0.414062 0.041199
0.070312 0.429688 0.040100
0.070312 0.445312 0.039001
0.070312 0.460938 0.037903
0.070312 0.476562 0.036804
0.070312 0.492188 0.035706
0.070312 0.507812 0.034607
0.070312 0.523438 0.033508
0.070312 0.539062 0.032410
0.070312 0.554688 0.031311
0.070312 0.570312 0.030212
0.070312 0.585938 0.029114
0.070312 0.601562 0.028015
0.070312 0.617188 0.026917
0.070312 0.632812 0.025818
0.070312 0.648438 0.024719
0.070312 0.664062 0.023621
0.070312 0.679688 0.022522
0.070312 0.695312 0.021423
0.070312 0.710938 0.020325
0.070312 0.726562 0.019226
0.070312 0.742188 0.018127
0.070312 0.757812 0.017029
0.070312 0.773438 0.015930
0.070312 0.789062 0.014832
0.070312 0.804688 0.013733
0.070312 0.820312 0.012634
0.070312 0.835938 0.011536
0.070312 0.851562 0.010437
0.070312 0.867188 0.009338
0.070312 0.882812 0.008240
0.070312 0.898438 0.007141
0.070312 0.914062 0.006042
0.070312 0.929688 0.004944
0.070312 0.945312 0.003845
0.070312 0.960938 0.002747
0.070312 0.976562 0.001648
0.070312 0.992188 0.000549
0.085938 0.007812 0.007141
0.085938 0.023438 0.021423
0.085938 0.039062 0.035706
0.085938 0.054688 0.049988
0.085938 0.070312 0.064270
0.085938 0.085938 0.078552
0.085938 0.101562 0.077209
0.085938 0.117188 0.075867
0.085938 0.132812 0.074524
0.085938 0.148438 0.073181
0.085938 0.164062 0.071838
0.085938 0.179688 0.070496
0.085938 0.195312 0.069153
0.085938 0.210938 0.067810
0.085938 0.226562 0.066467
0.085938 0.242188 0.065125
0.085938 0.257812 0.063782
0.085938 0.273438 0.062439
0.085938 0.289062 0.061096
0.085938 0.304688 0.059753
0.085938 0.320312 0.058411
0.085938 0.335938 0.057068
0.085938 0.351562 0.055725
0.085938 0.367188 0.054382
0.085938 0.382812 0.053040
0.085938 0.398438 0.051697
0.085938 0.414062 0.050354
0.085938 0.429688 0.049011
0.085938 0.445312 0.047668
0.085938 0.460938 0.046326
0.085938 0.476562 0.044983
0.085938 0.492188 0.043640
0.085938 0.507812 0.042297
0.085938 0.523438 0.040955
0.085938 0.539062 0.039612
0.085938 0.554688 0.038269
0.085938 0.570312 0.036926
0.085938 0.585938 0.035583
0.085938 0.601562 0.034241
0.085938 0.617188 0.032898
0.085938 0.632812 0.031555
0.085938 0.648438 0.030212
0.085938 0.664062 0.028870
