n heat adv
214 0.003121122 0.41039618
215 0.0031251971 0.4110145
216 0.0031294199 0.4116689
217 0.0031337882 0.41228802
218 0.0031382997 0.41286958
219 0.0031429521 0.41348187
220 0.0031477431 0.41424755
221 0.0031526705 0.41531336
222 0.0031577321 0.41681268
223 0.0031629255 0.41882973
224 0.0031682486 0.42137412
225 0.0031736992 0.42437191
226 0.0031792751 0.42767531
227 0.0031849742 0.43108778
228 0.0031907942 0.43439814
229 0.0031967331 0.43741555
230 0.0032027889 0.43999788
231 0.0032089593 0.44206851
232 0.0032152423 0.44361937
233 0.003221636 0.44470071
234 0.0032281382 0.44540112
235 0.003234747 0.44582251
236 0.0032414605 0.44605615
237 0.0032482767 0.44616524
238 0.0032551936 0.44617784
239 0.0032622094 0.44609146
240 0.0032693222 0.44588736
241 0.0032765301 0.44555016
242 0.0032838315 0.44508694
243 0.0032912244 0.44454014
244 0.003298707 0.44399012
245 0.0033062778 0.44354562
246 0.0033139349 0.44332369
247 0.0033216767 0.44342345
248 0.0033295014 0.44390026
249 0.0033374076 0.44474752
250 0.0033453935 0.44589183
251 0.0033534576 0.44720376
252 0.0033615984 0.44852274
253 0.0033698142 0.44969072
254 0.0033781037 0.45058711
255 0.0033864653 0.45115744
256 0.0033948976 0.45142922
257 0.0034033991 0.45151093
258 0.0034119685 0.45157328
259 0.0034206044 0.45181521
260 0.0034293054 0.45242079
261 0.0034380702 0.45351615
262 0.0034468976 0.45513649
263 0.0034557862 0.45721175
264 0.0034647348 0.45957485
265 0.0034737421 0.46199108
266 0.003482807 0.46420164
267 0.0034919283 0.46597162
268 0.0035011048 0.46713253
269 0.0035103355 0.46761139
270 0.003519619 0.46744109
271 0.0035289545 0.46675053
272 0.0035383408 0.46573594
273 0.0035477769 0.46461868
274 0.0035572617 0.46359759
275 0.0035667942 0.46280615
276 0.0035763736 0.46228458
277 0.0035859987 0.46197384
278 0.0035956687 0.46173366
279 0.0036053825 0.46138028
280 0.0036151395 0.46073517
281 0.0036249385 0.45967373
282 0.0036347789 0.4581634
283 0.0036446596 0.45628319
284 0.00365458 0.45421977
285 0.0036645391 0.45223957
286 0.0036745362 0.45064054
287 0.0036845705 0.44969235
288 0.0036946412 0.4495776
289 0.0037047477 0.45034854
290 0.0037148891 0.45191074
291 0.0037250648 0.45403873
292 0.003735274 0.45641987
293 0.0037455161 0.45871543
294 0.0037557904 0.46062512
295 0.0037660963 0.46194183
296 0.0037764331 0.46258726
297 0.0037868002 0.46262284
298 0.003797197 0.4622347
299 0.0038076228 0.46169495
300 0.0038180772 0.46130567
301 0.0038285594 0.46133556
302 0.0038390691 0.4619623
303 0.0038496056 0.46323365
304 0.0038601684 0.46505659
305 0.0038707569 0.467217
306 0.0038813708 0.46942445
307 0.0038920093 0.47137089
308 0.0039026722 0.47279034
309 0.0039133589 0.47350788
310 0.0039240689 0.47347023
311 0.0039348018 0.47275379
312 0.0039455571 0.47154978
313 0.0039563344 0.47012952
314 0.0039671334 0.46879541
315 0.0039779534 0.46782671
316 0.0039887943 0.46743023
317 0.0039996555 0.46770636
318 0.0040105367 0.46863756
319 0.0040214374 0.47010094
320 0.0040323574 0.4719008
321 0.0040432963 0.4738122
322 0.0040542537 0.47562538
323 0.0040652292 0.47718183
324 0.0040762226 0.47839642
325 0.0040872335 0.47926308
326 0.0040982615 0.47984536
327 0.0041093064 0.48025546
328 0.0041203679 0.48062702
329 0.0041314456 0.4810876
330 0.0041425393 0.48173636
331 0.0041536486 0.48263076
332 0.0041647733 0.48378354
333 0.0041759131 0.48516885
334 0.0041870678 0.48673407
335 0.0041982371 0.48841285
336 0.0042094206 0.49013559
337 0.0042206183 0.49183473
338 0.0042318298 0.49344449
339 0.0042430548 0.49489673
340 0.0042542932 0.49611569
341 0.0042655447 0.4970153
342 0.0042768092 0.49750163
343 0.0042880863 0.49748194
344 0.0042993758 0.49687971
345 0.0043106777 0.49565324
346 0.0043219915 0.49381405
347 0.0043333172 0.49144059
348 0.0043446546 0.48868317
349 0.0043560034 0.48575685
350 0.0043673635 0.48292115
351 0.0043787347 0.48044794
352 0.0043901168 0.47858208
353 0.0044015096 0.47750192
354 0.004412913 0.47728841
355 0.0044243267 0.47791042
356 0.0044357507 0.47923049
357 0.0044471848 0.48103027
358 0.0044586287 0.48304994
359 0.0044700824 0.48503308
360 0.0044815457 0.4867681
361 0.0044930185 0.48811878
362 0.0045045006 0.48903945
363 0.0045159918 0.48957321
364 0.0045274921 0.48983447
365 0.0045390012 0.48997985
366 0.0045505191 0.49017311
367 0.0045620457 0.49055133
368 0.0045735807 0.49119937
369 0.0045851241 0.49213769
370 0.0045966758 0.49332573
371 0.0046082356 0.49467898
372 0.0046198035 0.49609474
373 0.0046313792 0.49747959
374 0.0046429627 0.49877173
375 0.0046545539 0.49995287
376 0.0046661526 0.50104692
377 0.0046777589 0.5021062
378 0.0046893724 0.50318841
379 0.0047009933 0.50433029
380 0.0047126213 0.50552482
381 0.0047242563 0.50670817
382 0.0047358984 0.50776062
383 0.0047475473 0.50852219
384 0.0047592029 0.50882029
385 0.0047708653 0.50850413
386 0.0047825342 0.50747897
387 0.0047942097 0.50573376
388 0.0048058916 0.50335642
389 0.0048175798 0.50053314
390 0.0048292743 0.4975303
391 0.004840975 0.49466036
392 0.0048526817 0.49223637
393 0.0048643945 0.49052276
394 0.0048761133 0.48969209
395 0.0048878379 0.48979748
396 0.0048995683 0.4907672
397 0.0049113044 0.49242267
398 0.0049230462 0.49451529
399 0.0049347935 0.49677306
400 0.0049465464 0.4989471
