x v
0.51782227 0.45498263
0.51977539 0.46256008
0.52172852 0.47032878
0.52368164 0.47826206
0.52563477 0.48633892
0.52758789 0.49454477
0.52954102 0.50287171
0.53149414 0.51131824
0.53344727 0.51988858
0.53540039 0.52859148
0.53735352 0.53743879
0.53930664 0.54644363
0.54125977 0.55561837
0.54321289 0.56497239
0.54516602 0.57450978
0.54711914 0.5842271
0.54907227 0.59411124
0.55102539 0.60413781
0.55297852 0.61427007
0.55493164 0.62445866
0.55688477 0.63464242
0.55883789 0.64475029
0.56079102 0.65470434
0.56274414 0.6644239
0.56469727 0.67383044
0.56665039 0.68285293
0.56860352 0.69143315
0.57055664 0.69953041
0.57250977 0.70712525
0.57446289 0.71422155
0.57641602 0.72084668
0.57836914 0.72704971
0.58032227 0.73289745
0.58227539 0.73846893
0.58422852 0.74384855
0.58618164 0.7491187
0.58813477 0.75435255
0.59008789 0.75960788
0.59204102 0.76492249
0.59399414 0.77031179
0.59594727 0.77576886
0.59790039 0.78126694
0.59985352 0.78676395
0.60180664 0.79220877
0.60375977 0.79754814
0.60571289 0.80273367
0.60766602 0.80772786
0.60961914 0.81250859
0.61157227 0.81707134
0.61352539 0.82142908
0.61547852 0.8256098
0.61743164 0.82965204
0.61938477 0.83359914
0.62133789 0.83749293
0.62329102 0.84136777
0.62524414 0.84524584
0.62719727 0.84913417
0.62915039 0.85302407
0.63110352 0.85689284
0.63305664 0.86070762
0.63500977 0.86443086
0.63696289 0.86802667
0.63891602 0.87146697
0.64086914 0.8747369
0.64282227 0.87783832
0.64477539 0.88079116
0.64672852 0.88363218
0.64868164 0.88641131
0.65063477 0.88918606
0.65258789 0.89201457
0.65454102 0.89494836
0.65649414 0.89802552
0.65844727 0.90126556
0.66040039 0.90466633
0.66235352 0.90820358
0.66430664 0.91183332
0.66625977 0.9154966
0.66821289 0.91912617
0.67016602 0.92265426
0.67211914 0.92602044
0.67407227 0.92917864
0.67602539 0.93210245
0.67797852 0.93478813
0.67993164 0.9372549
0.68188477 0.93954268
0.68383789 0.94170742
0.68579102 0.9438149
0.68774414 0.9459335
0.68969727 0.94812709
0.69165039 0.95044871
0.69360352 0.9529358
0.69555664 0.95560739
0.69750977 0.95846342
0.69946289 0.96148617
0.70141602 0.96464324
0.70336914 0.96789169
0.70532227 0.97118263
0.70727539 0.97446551
0.70922852 0.97769181
0.71118164 0.98081741
0.71313477 0.98380381
0.71508789 0.98661807
0.71704102 0.98923179
0.71899414 0.99161956
0.72094727 0.99375732
0.72290039 0.99562109
0.72485352 0.99718646
0.72680664 0.99842884
0.72875977 0.99932475
0.73071289 0.99985363
0.73266602 1
0.73461914 0.9997555
0.73657227 0.99912021
0.73852539 0.99810307
0.74047852 0.99672094
0.74243164 0.99499646
0.74438477 0.9929548
0.74633789 0.99061966
